disgusting,отвратительный
dizzy,головокружительный
commit,совершить
collate,сопоставлять
pointless,бессмысленный
fruitless,бесполезный
selfless,бескорыстный
imply,подразумевать
deed,дело
quarrel,ссора
fascinating,очаровательный
pry,подглядывать
evasive,уклончивый
harassment,домогательство
hint,намек
outstanding,выдающийся
bump,удар
interfere,вмешиваться
closely,тесно
deliberately,сознательно
pass,проходить
elapse,истекать
penetrate,проникать
rush,порыв
bring up,воспитывать
word play,игра слов
keep an eye on,следите за
lively,оживленный
persistent,стойкий
go off,уходить
gust,вкус
whine,ныть
contaminate,загрязнять
collide,сталкиваться
clash,столкновение
hence,следовательно
realm,область
bow,лук
steward,стюард
plunge,вляпаться
gather,собирать
stroke,штрих
beacon,маяк
aid,помощь
retreat,отступление
grunt,брюзга
foresee,предвидеть
hilarious,веселый
quirky,ушлый
confession,признание
thrifty,экономный
cheapskate,скряга
skate,кататься на коньках
jerk,придурок
contemptible,презренный
festive,праздничный
cache,тайник
estate,имущество
sober down,отрезвлять
creep,ползать
sneak out,выскальзывать
sneak,красться
perk,привилегия
urge,побуждать
stick out,торчать
stick,придерживаться